2026-02-09 16:10:33,360 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-09 16:10:33,361 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-02-09 16:10:33,361 | INFO | apscheduler.scheduler | Scheduler started
2026-02-09 16:10:33,361 | INFO | root | Планировщик запущен 
2026-02-09 16:10:33,362 | INFO | aiogram.dispatcher | Start polling
2026-02-09 16:10:33,460 | INFO | aiogram.dispatcher | Run polling for bot @HabitTracke_bot id=8347167918 - 'Habit_TrackerBot'
2026-02-09 16:10:43,328 | INFO | aiogram.event | Update id=740455277 is handled. Duration 558 ms by bot id=8347167918
2026-02-09 16:11:00,001 | INFO | apscheduler.executors.default | Running job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-09 16:12:00 MSK)" (scheduled at 2026-02-09 16:11:00+03:00)
2026-02-09 16:11:00,002 | INFO | scheduler | Напоминания запущены
2026-02-09 16:11:00,009 | INFO | apscheduler.executors.default | Job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-09 16:12:00 MSK)" executed successfully
2026-02-09 16:11:06,531 | INFO | aiogram.event | Update id=740455278 is handled. Duration 198 ms by bot id=8347167918
2026-02-09 16:11:13,987 | INFO | habit | User 1522889435 adding habit: Занятия спортом
2026-02-09 16:11:14,111 | INFO | aiogram.event | Update id=740455279 is handled. Duration 125 ms by bot id=8347167918
2026-02-09 16:11:27,224 | INFO | aiogram.event | Update id=740455280 is handled. Duration 722 ms by bot id=8347167918
2026-02-09 16:11:55,705 | INFO | aiogram.event | Update id=740455281 is handled. Duration 119 ms by bot id=8347167918
2026-02-09 16:12:00,000 | INFO | apscheduler.executors.default | Running job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-09 16:13:00 MSK)" (scheduled at 2026-02-09 16:12:00+03:00)
2026-02-09 16:12:00,001 | INFO | scheduler | Напоминания запущены
